camera_id,location_name
1001,KPE/ECP
1002,Kallang Bahru
1003,KPE/PIE
1004,Kallang Way Flyover
1005,Defu Flyover
1006,Kallang-Paya Lebar Expressway
1111,Tampines Expressway
1112,Loyang Avenue
1113,Tanah Merah Coast Road
1501,Maxwell Road
1502,Marina Boulevard/Marina Coastal Drive
1503,MCE 1.02km
1504,MCE/ECP
1505,Marina Boulevard
1701,Whampoa Park Connector
1702,Braddell Flyover
1703,St George Road
1704,Central Expressway
1705,Central Expressway
1706,Sunrise Avenue
1707,Bukit Merah Flyover
1709,Exit 6 to Bukit Timah Road
1711,Ang Mo Kio Ave 1 Flyover
2701,Woodlands Causeway (Towards Johor)
2702,Woodlands border checkpoint (buses)
2703,Chantek Flyover
2704,Woodlands Flyover (Towards Checkpoint)
2705,Dairy Farm Flyover
2706,Mandai Road Entrance
2707,Bukit Timah Expressway
2708,Exit 5 to KJE (Towards Checkpoint)
3702,Entrance from PIE
3704,Entrance from MCE
3705,Exit 2A to Changi Coast Road
3793,Laguna Flyover
3795,Marine Parade Flyover
3796,Tanjong Katong Flyover
3797,Tanjong Rhu
3798,Benjamin Sheares Bridge
4701,Towards Alexandra Road
4702,Keppel Viaduct
4703,Second Link at Tuas
4704,Lower Delta Flyover
4705,Yuan Ching Road
4706,Near NUS
4707,Entrance from Jalan Ahmad Ibrahim
4708,Near Dover Drive
4709,Clementi Avenue 6 Entrance
4710,Towards Pandan Gardens
4712,Tuas West Rd
4713,Tuas Checkpoint
4714,Near West Coast Walk
4716,Jalan Ahmad Ibrahim
4798,Sentosa Gateway (Towards Telok Blangah)
4799,Sentosa Gateway (Towards Sentosa)
5794,Bedok North
5795,Eunos Flyover
5797,Paya Lebar Flyover
5798,Kallang Way
5799,Woodsville Flyover
6701,Kim Keat Link
6703,Thomson Flyover
6704,Mount Pleasant
6705,Pan-Island Expressway
6706,Bukit Timah Expressway
6708,Nanyang Flyover
6710,Entrance from Jalan Anak Bukit
6711,Entrance to PIE from ECP Changi
6712,Exit 27 to Clementi Avenue 6
6713,Entrance from Simei Avenue
6714,Exit 35 to KJE
6715,Hong Kah Flyover
6716,Tuas Flyover
7791,Upper Changi Flyover Towards PIE
7793,Tampines Avenue 10 Entrance
7794,TPE(KPE) Exit
7795,Entrance To Tampines Flyover
7796,Exit to Punggol Flyover
7797,Seletar West Link
7798,Seletar Flyover
8701,Choa Chu Kang West Flyover
8702,Kranji Expressway
8704,Kranji Expressway
8706,Tengah Flyover
9701,Lentor Flyover
9702,Upper Thomson Flyover
9703,Seletar Expressway
9704,Ulu Sembawang Flyover
9705,Marsiling Flyover
9706,Mandai Flyover
